municipality,distance to primary health care,distance to public hospitals,family medicine consultations,nurses in primary health care,doctors in primary health care,users without a family doctor,vaccination coverage
Alfândega da Fé,high,moderate,high,high,moderate,moderate,high
Amares,moderate,low,low,very low,low,low,high
Braga,moderate,very low,low,very low,low,very low,moderate
Bragança,high,very low,low,low,moderate,very low,moderate
Gondomar,very low,low,high,very low,low,very low,high
Maia,very low,very low,low,very low,low,very low,high
Matosinhos,very low,very low,moderate,very low,low,very low,high
Monção,moderate,high,moderate,low,moderate,very low,high
Paredes,,,,,,,
Penafiel,moderate,very low,moderate,very low,low,very low,very low
Porto,very low,very low,low,very low,moderate,very low,moderate
Póvoa de Lanhoso,very high,low,moderate,very low,low,very low,high
Santo Tirso,low,very low,high,very low,low,very low,very high
Valença,,,,,,,
Valongo,very low,very low,moderate,very low,low,very low,high
Viana do Castelo,low,very low,high,very low,moderate,very low,high
Vila Nova de Famalicão,low,very low,low,very low,low,very low,very high
Vila Pouca de Aguiar,,,,,,,
Vila Real,moderate,very low,moderate,very low,moderate,very low,high
Alenquer,,,,,,,
Coimbra,low,very low,moderate,low,high,very low,low
Figueira da Foz,low,very low,moderate,low,moderate,low,low
Guarda,low,very low,low,moderate,high,very low,high
Lourinhã,moderate,low,low,very low,very low,high,high
Lousã,low,moderate,high,low,high,low,moderate
Miranda do Corvo,low,moderate,high,low,high,very low,moderate
Pombal,high,very low,low,low,moderate,very low,high
Soure,high,moderate,high,low,moderate,low,low
Tábua,moderate,very high,moderate,low,moderate,low,low
Torres Vedras,low,very low,low,very low,low,moderate,low
Alcochete,,,,,,,
Almada,very low,very low,low,very low,low,moderate,moderate
Amadora,very low,very low,very low,very low,very low,very high,low
Barreiro,very low,very low,moderate,low,low,high,high
Lisboa,very low,very low,very low,very low,low,high,low
Loures,low,very low,low,very low,very low,high,moderate
Montijo,very low,very low,low,very low,very low,high,low
Odivelas,very low,very low,low,very low,low,high,low
Oeiras,very low,very low,low,very low,low,moderate,moderate
Palmela,low,low,low,low,low,high,moderate
Seixal,very low,low,moderate,very low,very low,high,moderate
Sesimbra,low,moderate,low,very low,very low,moderate,moderate
Setúbal,very low,very low,low,very low,very low,very high,moderate
Vila Franca de Xira,very low,very low,very low,very low,very low,moderate,moderate
Almodôvar,low,very high,moderate,moderate,low,very low,high
Alvito,very low,high,high,high,moderate,very low,very high
Avis,very low,very high,very high,high,very low,high,very high
Azambuja,low,low,low,low,very low,very high,high
Barrancos,very low,very high,very high,high,high,very low,very high
Beja,very low,very low,moderate,very high,very high,very low,high
Chamusca,low,high,very high,moderate,very low,low,moderate
Cuba,very low,moderate,high,very high,high,very low,very high
Golegã,very low,low,very high,very low,low,very low,very high
Grândola,low,very high,low,moderate,moderate,moderate,high
Odemira,high,very high,very low,moderate,moderate,high,low
Serpa,low,low,high,high,moderate,moderate,moderate
Viana do Alentejo,very low,moderate,high,high,high,very low,moderate
Vidigueira,very low,moderate,very high,moderate,moderate,very low,very high
Castro Marim,moderate,high,moderate,moderate,low,very low,moderate
Lagoa,very low,very low,low,low,low,moderate,low
Loulé,low,low,very low,low,very low,moderate,low
Monchique,moderate,moderate,low,moderate,very low,very high,high
Portimão,very low,very low,very low,low,low,high,low
Tavira,low,moderate,low,moderate,low,low,moderate
Calheta (Açores),,,,,,,
Lagoa (Açores),very low,low,very low,moderate,moderate,low,very high
Ponta Delgada (Açores),low,very low,very low,moderate,moderate,moderate,very high
Ribeira Grande (Açores),low,low,very low,high,low,very low,very high
São Roque do Pico (Açores),low,,high,very high,high,very low,very high
Porto Santo (Madeira),low,,very low,very high,moderate,low,very high
