municipality,alcohol-sensitive mortality,mortality from healthcare-sensitive causes,diabetes mortality,poverty-sensitive mortality,mortality from causes sensitive to prevention,mortality from suicide and self-inflicted injuries,mortality sensitive to tobacco consumption,mortality from malignant tumors
Alfândega da Fé,moderate,low,low,low,moderate,low,very low,very low
Amares,very low,very low,very low,low,moderate,very low,low,very low
Braga,very low,very low,very low,very low,very low,very low,very low,very low
Bragança,moderate,very low,very low,low,low,moderate,very low,low
Gondomar,very low,very low,very low,low,low,very low,very low,moderate
Maia,very low,very low,very low,very low,low,very low,very low,low
Matosinhos,very low,very low,very low,very low,low,very low,very low,moderate
Monção,high,moderate,low,very low,high,low,moderate,low
Paredes,,,,,,,,
Penafiel,very low,very low,low,low,moderate,very low,low,very low
Porto,low,low,very low,low,moderate,very low,very low,moderate
Póvoa de Lanhoso,very low,very low,low,moderate,low,very low,very low,very low
Santo Tirso,very low,very low,low,very low,low,very low,low,low
Valença,,,,,,,,
Valongo,very low,very low,very low,very low,low,very low,very low,low
Viana do Castelo,low,very low,low,very low,low,very low,very low,moderate
Vila Nova de Famalicão,very low,very low,low,very low,low,low,very low,low
Vila Pouca de Aguiar,,,,,,,,
Vila Real,high,very low,very low,low,low,very low,very low,very low
Alenquer,,,,,,,,
Coimbra,low,very low,very low,low,very low,low,very low,low
Figueira da Foz,low,low,low,moderate,low,moderate,low,low
Guarda,moderate,very low,very low,low,very low,low,very low,low
Lourinhã,low,moderate,high,moderate,low,moderate,low,moderate
Lousã,moderate,low,very low,very low,low,low,low,low
Miranda do Corvo,moderate,moderate,low,very low,low,moderate,moderate,moderate
Pombal,high,low,low,low,low,moderate,low,low
Soure,low,low,low,moderate,very low,moderate,very low,very low
Tábua,moderate,low,very low,low,moderate,low,moderate,moderate
Torres Vedras,moderate,low,moderate,moderate,very low,moderate,moderate,moderate
Alcochete,,,,,,,,
Almada,high,low,low,low,moderate,low,low,high
Amadora,low,low,very low,very low,low,very low,very low,very low
Barreiro,low,low,low,moderate,low,low,low,moderate
Lisboa,low,low,very low,very low,moderate,low,very low,moderate
Loures,low,low,low,very low,low,very low,very low,low
Montijo,low,high,moderate,low,moderate,moderate,moderate,moderate
Odivelas,low,low,very low,very low,low,very low,very low,low
Oeiras,very low,very low,very low,very low,very low,very low,very low,low
Palmela,high,high,moderate,very low,moderate,moderate,moderate,moderate
Seixal,low,low,moderate,very low,low,low,low,low
Sesimbra,high,moderate,moderate,low,moderate,very low,moderate,high
Setúbal,moderate,high,moderate,very low,moderate,moderate,moderate,high
Vila Franca de Xira,very low,low,moderate,very low,low,low,low,low
Almodôvar,low,moderate,low,moderate,moderate,very high,moderate,moderate
Alvito,high,high,high,low,high,high,high,high
Avis,low,very high,high,low,low,high,low,very low
Azambuja,very low,moderate,low,very low,low,high,low,low
Barrancos,moderate,very high,moderate,high,high,very high,moderate,moderate
Beja,very low,high,moderate,moderate,moderate,high,moderate,low
Chamusca,low,high,low,very low,low,high,very low,very low
Cuba,high,very high,high,very high,moderate,high,high,high
Golegã,low,high,moderate,very low,moderate,moderate,moderate,moderate
Grândola,very low,high,very low,very low,moderate,very high,moderate,low
Odemira,low,high,very low,low,high,very high,very low,low
Serpa,moderate,very high,high,low,high,high,moderate,high
Viana do Alentejo,moderate,high,very high,low,high,very high,moderate,high
Vidigueira,moderate,very high,moderate,high,high,high,moderate,moderate
Castro Marim,very low,high,low,low,high,high,low,moderate
Lagoa,low,high,very low,high,moderate,high,low,moderate
Loulé,very low,moderate,very low,moderate,moderate,high,low,low
Monchique,low,high,very low,low,low,very high,very low,low
Portimão,moderate,moderate,very low,high,high,high,moderate,high
Tavira,very low,moderate,low,low,moderate,high,very low,low
Calheta (Açores),,,,,,,,
Lagoa (Açores),moderate,high,high,very low,high,low,moderate,moderate
Ponta Delgada (Açores),very high,very high,moderate,very low,very high,moderate,high,very high
Ribeira Grande (Açores),low,very high,very high,low,very high,moderate,very high,very high
São Roque do Pico (Açores),low,moderate,moderate,low,high,low,moderate,low
Porto Santo (Madeira),very low,high,very low,moderate,high,low,high,high
